1.50,-9.85
-1.40,-8.63
0.61,-8.75
1.79,-11.56
-2.61,-11.17
4.24,-14.88
3.79,-13.88
0.60,-11.93
-1.22,-12.55
-1.84,-11.67
-0.01,-12.82
5.56,-12.82
10.17,-12.75
18.26,-13.53
24.88,-13.48
30.18,-14.60
41.68,-14.75
51.73,-17.12
56.18,-18.51
61.89,-21.45
69.89,-25.78
77.25,-34.83
81.90,-47.76
85.15,-61.65
84.79,-60.31
84.93,-60.59
84.64,-59.90
83.95,-56.58
84.05,-56.57
83.84,-55.81
84.31,-57.99
84.13,-56.90
84.22,-58.22
84.68,-59.91
84.11,-58.03
84.37,-59.31
84.47,-59.61
84.63,-60.11
84.31,-58.57
82.18,-50.81
76.41,-37.26
68.12,-24.59
59.85,-19.67
47.22,-15.33
31.44,-9.11
10.75,-8.67
5.11,-7.10
-1.16,-6.34
-4.03,-6.60
-2.38,-6.54
-1.60,-6.97
-0.77,-7.74
1.23,-8.10
-1.50,-9.48
-2.08,-8.82
-1.46,-8.60
3.87,-6.17
3.97,-2.97
8.39,2.91
10.51,4.69
10.32,9.72
12.18,17.98
9.66,23.25
3.93,27.15
5.32,31.75
11.30,31.92
12.91,37.01
4.81,38.91
7.96,42.63
6.74,43.60
10.33,44.61
15.94,48.27
18.60,49.21
17.55,48.59
17.02,48.72
17.33,48.41
17.95,48.03
18.64,47.97
16.96,45.72
17.60,42.36
20.23,37.26
16.13,31.02
18.39,22.87
21.02,13.27
16.51,7.50
15.73,2.70
17.09,-1.18
11.37,-11.66
13.69,-17.74
13.98,-26.00
14.07,-36.52
11.17,-47.55
10.35,-55.77
12.17,-60.77
9.45,-64.40
6.92,-68.26
10.12,-70.62
13.09,-72.03
10.59,-74.96
17.06,-76.13
24.14,-79.15
30.50,-81.80
44.66,-84.83
79.52,-88.84
105.76,-91.70
123.90,-94.08
119.51,-93.27
126.40,-94.28
126.58,-94.68
130.38,-95.22
130.17,-95.33
129.26,-95.00
128.52,-94.26
138.94,-94.97
139.72,-94.65
114.88,-92.15
130.91,-93.49
-63.81,-92.61
-99.65,-92.87
-106.22,-93.70
-110.82,-94.47
-112.48,-94.84
-110.51,-94.93
-109.55,-93.93
-109.40,-94.42
-108.57,-94.42
-99.62,-91.84
-83.17,-89.80
1.18,-86.54
37.64,-82.74
57.65,-80.28
68.21,-78.47
73.59,-78.47
82.64,-83.54
87.15,-86.62
86.57,-85.54
85.45,-83.74
81.42,-80.13
82.90,-76.88
77.90,-61.67
81.17,-66.64
80.82,-61.63
89.97,-90.91
92.13,-98.71
87.94,-51.87
90.60,-105.23
90.90,-111.95
91.34,-118.66
91.32,-117.68
91.40,-119.33
91.45,-121.25
91.64,-123.70
91.44,-119.11
91.40,-118.51
91.40,-117.99
91.35,-118.77
91.29,-117.56
91.20,-116.60
91.31,-119.12
91.23,-117.32
91.48,-118.89
91.71,-120.65
91.62,-119.93
91.12,-113.22
91.38,-119.09
91.13,-115.93
91.15,-117.80
91.27,-118.18
91.38,-120.28
91.39,-120.55
91.43,-120.46
91.30,-118.15
91.45,-120.05
91.27,-116.79
91.49,-121.83
91.52,-122.08
91.51,-121.75
91.39,-120.19
91.30,-119.48
91.15,-114.64
91.27,-117.80
91.23,-117.14
91.39,-121.21
91.23,-116.93
91.25,-119.16
91.35,-119.98
91.41,-120.38
91.31,-117.48
